gene,sod
TMEM158,1.0732
COL6A2,1.0673
COL6A1,1.0471
IGFBP7,1.038
ME1,1.0276
VEGFA,0.9433
CAMK2N1,0.9402
BASP1,0.9358
FN1,0.9281
PLAUR,0.9252
ARL4C,0.9159
UBE2C,0.8816
SMAGP,0.8764
ARHGAP22,0.8652
LTBP1,0.8629
MMP2,0.8621
CENPE,0.8577
TOX2,0.8499
CCNB1,0.8469
RAB27B,0.8143
C1R,0.8141
PRKCA,0.8141
NRP1,0.8135
TIMP3,0.8129
C1S,0.8096
PCOLCE,0.8084
IL6ST,0.8047
STX1A,0.7951
MYH15,0.7778
SFRP1,0.7765
F2R,0.7734
STC1,0.7706
IER5L,0.7663
SRGN,0.7653
AC016831.7,0.76
AKR1B1,0.7591
DPYSL2,0.7515
PRNP,0.7512
LYPD6,0.7388
LACC1,0.7377
MCTP2,0.7366
IRS1,0.7326
NNMT,0.7313
OLFML3,0.7312
HJURP,0.7177
BGN,0.7172
SLC12A8,0.7164
NDRG1,0.7133
STEAP3,0.7125
SPOCK1,0.7125
SNED1,0.7116
CDA,0.7105
SIRPB1,0.7099
PMEPA1,0.7012
PRSS35,0.6959
TSNARE1,0.6952
CCPG1,0.6942
PRR9,0.6936
ITGA11,0.6923
MTSS1,0.6857
ITGA2,0.6838
PDGFRA,0.6819
FAM83D,0.6782
WNT5A,0.678
PHLDB2,0.6769
CMKLR1,0.6763
EGFR,0.6758
NEK2,0.6745
VEGFC,0.6668
MYOF,0.6631
WISP1,0.6586
NRG1,0.6585
ERRFI1,0.643
ABHD17C,0.6423
BIN1,0.6396
STEAP1,0.6366
KCNN4,0.624
MYEOV,0.6184
COL1A1,0.6182
LOXL2,0.6123
IFIT1,0.6098
PDGFA,0.6046
ANTXR2,0.6046
CSF1,0.6019
AQP1,0.6013
DDIT3,0.5972
ITGA5,0.5956
SLC16A6,0.5935
MMP1,0.5927
COL15A1,0.5926
DNER,0.5893
ANKRD29,0.5851
TGM2,0.5777
GBP2,0.5731
ENPP1,0.573
RAB31,0.5658
SPP1,0.5638
IGFBP2,0.5636
LMO2,0.5552
TSPAN5,0.5546
